,tree_id,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,mass,init_time,init_snap,inf_time,inf_snap,rs,rhos
135,462,-758.92554,-114.09033,26.530273,139.6405,105.838776,-132.5411,0.3429478051425223,2.6745885931843203,29,7.435457580781714,60,1.7730774912093956,24164939.520312373
136,464,-154.20068,-960.9053,134.50195,-110.37809,443.13495,38.628143,0.10650820539593872,5.415456570160442,47,7.623867997384209,61,1.5847963632981439,13275708.149773799
137,465,-114.09766,-530.91406,124.39746,17.81701,193.58559,44.949768,0.381124936481968,3.731898415274796,36,6.674596095958185,55,4.96570400865995,3522090.3933057804
138,467,97.45752,-165.82227,-6.482422,-129.74448,421.40506,-306.69925,0.13256987217502464,3.2730853173741568,33,3.4355619616722453,34,1.0405580477938856,85244059.4061397
139,470,112.698975,-892.1846,-244.32031,-110.353645,212.16339,35.360992,0.08766195957626183,2.8282978179355154,30,6.33884021811047,53,0.8625854419386932,67166048.75731896
140,471,32.999268,-818.4658,-79.45703,-222.06866,229.88585,114.36485,0.13219294362903028,4.192701039587177,39,7.623867997384209,61,1.4134576973755641,24424618.377497308
141,475,1.2148438,187.79834,-91.11182,-114.378,65.01343,-171.1912,0.15292381568049343,1.9361870776816503,24,4.487690799315245,41,0.687616076300234,159966136.54960525
142,476,-372.55518,-219.9961,-380.95898,136.14679,216.05148,240.46236,0.22098569434267037,6.056697650557152,51,6.980079740079797,57,2.851649964564834,6688219.470520776
143,478,-53.267822,193.24707,-50.365234,327.5958,-20.24329,38.170677,0.11189285020121509,2.9697302481753507,31,3.1179038030602504,32,1.5125979958690898,20974637.757597283
144,481,-307.23035,28.921875,-65.85303,211.14539,39.668293,10.98783,0.20224712118132473,1.533588501394217,21,2.6745885931843203,29,1.8782366825975958,29591209.21856549
145,486,6.92041,-168.53125,-25.876953,-237.14825,315.98953,-348.92297,0.1330544898775358,2.8282978179355154,30,5.709588606856291,49,1.1488990168798745,46336894.402375564
146,488,-149.98438,242.23389,-43.63672,170.1417,87.68233,-29.598942,0.08437733031459568,2.136877449159822,25,4.487690799315245,41,0.9506385879100903,54925586.146321185
147,490,-445.68518,-224.76074,-15.290039,108.09257,189.55417,-73.776215,0.06310799598236298,1.4594757711996686,20,4.024363722579251,38,0.7218344305166488,114862010.00003822
148,492,246.3872,-569.46484,276.03516,-139.50453,199.73595,-37.86296,0.2601858671696305,4.642161998661766,42,7.623867997384209,61,1.2927903971132277,52173806.53607845
149,495,-63.849854,-441.0244,26.765625,74.82951,240.5254,-105.69421,0.2048855990057045,3.1179038030602504,32,4.965495393526235,44,1.52811095846244,30942140.0817145
150,496,-312.5525,264.90967,-63.609863,158.04506,1.0583534,-152.16742,0.1270236881355779,1.8042623342638673,23,4.642161998661766,42,1.2522967424949296,37244188.01086898
151,500,-320.71997,123.9834,11.806641,251.51413,114.28178,-205.23914,0.11124669326453354,2.8282978179355154,30,4.024363722579251,38,1.741331190249303,18856600.094072424
